,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
73,615848,2014809,delay,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
94,602051,1344679,delay,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
142,613876,1587131,delay,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
307,735457,1835015,delay,A19WXS1CLVLEEX,3WJ1OXY92AGODKWWYCSZR2KF5ERA8V,9
388,616332,1359154,delay,A1D36KAPWAUPTJ,3TVSS0C0E104IHRN2FZM0NDTBBIWTM,13
508,607149,3056416,delay,A1FYTTGF0QACU9,3OCHAWUVGOKK4Y6QIBHG1F441ZUKXS,16
527,610185,1242914,delay,A1GN9TMCN82WPL,3R2UR8A0IAG3UPR5G3998WLDL45OXH,17
646,609343,2834668,delay,A1K75ALN5NQIJM,3VELCLL3GKJ1YBTJA75CQT8YOOZ1FG,20
668,601593,1689196,delay,A1L6X6M0Q4F5PU,34MAJL3QP4NNAYA9DUNCNIQ4XJ634Q,21
694,603821,1510173,delay,A1LK6QRCHJQGAE,3VAR3R6G1P1DFOQX8VXHSX4KUWY8OX,22
712,628528,1253318,delay,A1M682B2WUSYJP,3M23Y66PO27592Z2MXHSSOIULP9S6O,23
774,617335,2010609,delay,A1P0NNR8HOQ95R,3TOK3KHVJTI9FALEYQ5BEX8PJCT7OA,24
816,607373,2036898,delay,A1RAWGJXKQOCMS,3X87C8JFV6BYJKIM16VQYTZLLRNSQP,26
852,772881,7220673,delay,A1U7O93JY3WFMU,3DI28L7YXAE9SXTNFWL68BNYCNK1EY,27
893,925759,2155670,delay,A1UO83ZUFK5D2K,32KTQ2V7RDFPTQOV07OI0PAQJ10M9I,29
910,815829,1421406,delay,A1VPE05UDNFKGV,3TAYZSBPLL8HR1G1ZV5P2B1I5L92SL,30
980,601539,1622527,delay,A20IXK8ZV8N72H,32KTQ2V7RDFPTQOV07OI0PAQJ10M9I,33
1043,630866,2674463,delay,A226EHLT7IIULM,31EUONYN2V3BQ0MAGO8RKBOS5UZVOP,34
1064,706225,1538021,delay,A22QD6M0A2C77C,36WLNQG78ZAA5VBFHTEVEN07YZBBER,35
1140,605180,2024537,delay,A23KNYW5XJ9FKD,338JKRMM26ZH6VXP1GM54FDE8YKAHF,37
1162,605040,1655993,delay,A256FHXGSY0E5D,39L1G8WVWQR6IZDQQC4APKJ1LYV138,38
1180,624444,1570299,delay,A256SILBF4K00K,37WLF8U1WPQ7LJMUHO8Q12RK4VWK6Z,39
1402,604489,2047124,delay,A2LU259QPV1I4V,3Y9N9SS8LYB0AUT265O5QMKAAVWD38,47
1427,651543,1645088,delay,A2NV8MMAGTLGUH,3WSELTNVR327B4OK1A3UIYG2JSFTA8,48
1444,726043,1444349,delay,A2R40R4O6G0YBY,3ERET4BTVM9U32OSFVB2LCIMUW3K99,49
1467,624512,1554356,delay,A2RTJ6BDY0DZVZ,3VZLGYJEYLAFTT5CICKQOUSH588XZS,50
1574,727704,1984274,delay,A2VM5D9YRFCM9W,3R6P78PK7KB8LV1NNAV4EKR5HMQGT3,54
1594,652937,1410901,delay,A2Y27Q78SRQPUK,3WEV0KO0OMS4UBEHWKP6YUSM2CZDS6,55
1754,605981,3528226,delay,A36PL5KK0B3XKQ,3ZSY5X72NXBJXT5T743HJEZPKNLROP,62
1776,611446,2169730,delay,A37DTVGS7RX6AG,3IHR8NYAM71UHNFWBSKJ0LT52EXP4L,63
1796,605916,1354213,delay,A37SRHEYTK0GIH,3I7DHKZYGN00MTU2BU7OTJLF043F5B,64
1896,604662,1239400,delay,A3DAJROQC1BLNI,38BQUHLA9W0S0DS12W70XF5FE0MOMY,68
1950,744981,1989071,delay,A3G5FY6NGZWIY7,3KKG4CDWKIY9P0ZPU3OMEVTQXAE949,70
1972,602948,1637953,delay,A3J4LTMN67OBX0,3T111IHZ5EQGQ61N5FKZMO40PP0R9E,71
2022,1017684,1772715,delay,A3MYTEE8WSEQ2Z,3PM8NZGV8YG6F14LVG1DX1GD05NXQY,73
2062,607767,1941137,delay,A3NSJ6GJC7TZSG,33F859I566DMP52H7UM1ZQXKQF3BH7,74
2121,602208,2052448,delay,A3RAQZNM5V6A2M,3IUZPWIU1O75FY1086LUZWQXSXOWKB,76
2165,612207,1497735,delay,A3SX229VS1X6B6,3NOKK93PR188CYNZRKGLFV6S1XREEZ,78
2224,901720,1564756,delay,A3V9NNG0SAKPGB,3DY4FPOOA1OENDEQ8GPVE6TXGHKVRZ,81
2368,804068,1685780,delay,A8MTR8ZH4OBNP,3RRCEFRB7MCSDTEMSN2I51OGLAHB4L,86
2426,616592,2198454,delay,AAJ1ZQECDZBEE,3B837J3LDOWYVLXMELKQ3J9QHCNRSL,88
2444,663260,1288143,delay,AAQREZOK13OV7,3DEL4X4EL6LFO3V7MQI7ANJFZE5YX3,89
2488,1102627,2491862,delay,AC93AVCHZRXFY,337RC3OW0523KFJD3WSZSUKYAPULVY,91
2556,637130,1586125,delay,ALGFDLMLSSKZ,3TU5ZICBRD1G003DN8PLH2ZK9XH8Q6,94
2663,679673,1830039,delay,APNTEGPF7QZQI,3X3OR7WPZZ0593N0V3HP0G0QZRT8LG,99
2729,617489,1717605,delay,AU7A3QNJF3O00,3IFS6Q0HJIJL2MU3OYQHPR8ZUG3SIH,102
2750,601855,1981164,delay,AUCSC92OG0BIM,3ITXP059PWJHXXE96GBH1SNZ7VSSJT,103
2794,605630,2442303,delay,AVXEDARJC5HLU,37Q970SNZE8A2GY5GR5BXSRDDESS1P,104
2822,611482,1933191,delay,AW6DFFL8QE1FH,3IX2EGZR7BJ5WIEWRRBCBII3LTBRJ6,105
